year_month_day,count
2013-03-24,468001
2013-03-25,438928
2013-03-26,460401
2013-03-27,486853
2013-03-28,512225
2013-03-29,519004
2013-03-30,504537
2013-03-31,447157
2013-04-01,427521
2013-04-02,494089
2013-04-03,512272
2013-04-04,529856
2013-04-05,550243
2013-04-06,529319
2013-04-07,460490
2013-04-08,440436
2013-04-09,476894
2013-04-10,503156
2013-04-11,525025
2013-04-12,562256
2013-04-13,551615
2013-04-14,484867
2013-04-15,449330
2013-04-16,468731
2013-04-17,487439
2013-04-18,511015
2013-04-19,527304
2013-04-20,551146
2013-04-21,466500
2013-04-22,424893
2013-04-23,450620
2013-04-24,439617
2013-04-25,476821
2013-04-26,498256
2013-04-27,486757
2013-04-28,429670
2013-04-29,456511
2013-04-30,479979
2013-05-01,496654
2013-05-02,523150
2013-05-03,550959
2013-05-04,554561
2013-05-05,488396
2013-05-06,468128
2013-05-07,490808
2013-05-08,509311
2013-05-09,526752
2013-05-10,538311
2013-05-11,540132
2013-05-12,461193
2013-05-13,460124
2013-05-14,490347
2013-05-15,508359
2013-05-16,528160
2013-05-17,533823
2013-05-18,535926
2013-05-19,489710
2013-05-20,466778
2013-05-21,499524
2013-05-22,502907
2013-05-23,492055
2013-05-24,493125
2013-05-25,453460
2013-05-26,384516
2013-05-27,336266
2013-05-28,445789
2013-05-29,479913
2013-05-30,510309
2013-05-31,525606
2013-06-01,533686
2013-06-02,451758
2013-06-03,452843
2013-06-04,477247
2013-06-05,497525
2013-06-06,515390
2013-06-07,532092
2013-06-08,489509
2013-06-09,441053
2013-06-10,461167
2013-06-11,473608
2013-06-12,486639
2013-06-13,519795
2013-06-14,507938
2013-06-15,495600
2013-06-16,421987
2013-06-17,437845
2013-06-18,467426
2013-06-19,489915
2013-06-20,499545
2013-06-21,505615
2013-06-22,474408
2013-06-23,436668
2013-06-24,437610
2013-06-25,470671
2013-06-26,487692
2013-06-27,504877
2013-06-28,506807
2013-06-29,490613
2013-06-30,417927
2013-07-01,422480
2013-07-02,442300
2013-07-03,435265
2013-07-04,326471
2013-07-05,353054
2013-07-06,355218
2013-07-07,358766
2013-07-08,413838
2013-07-09,458674
2013-07-10,474780
2013-07-11,495023
2013-07-12,507426
2013-07-13,468743
2013-07-14,435797
2013-07-15,443449
2013-07-16,466846
2013-07-17,496511
2013-07-18,513766
2013-07-19,515946
2013-07-20,485994
2013-07-21,414532
2013-07-22,440457
2013-07-23,465257
2013-07-24,476404
2013-07-25,487993
2013-07-26,483652
2013-07-27,457849
2013-07-28,415239
2013-07-29,409210
2013-07-30,443487
2013-07-31,459413
2013-08-01,300315
2013-08-02,236748
2013-08-03,225323
2013-08-04,194475
2013-08-05,383602
2013-08-06,417423
2013-08-07,394662
2013-08-08,404148
2013-08-09,450976
2013-08-10,415623
2013-08-11,134441
2013-08-12,339480
2013-08-13,416050
2013-08-14,365100
2013-08-15,450853
2013-08-16,424124
2013-08-17,389880
2013-08-18,375950
2013-08-19,360019
2013-08-20,397518
2013-08-21,438413
2013-08-22,452890
2013-08-23,450618
2013-08-24,427934
2013-08-25,385659
2013-08-26,369575
2013-08-27,396498
2013-08-28,418822
2013-08-29,426859
2013-08-30,429453
2013-08-31,408094
2013-09-01,384470
2013-09-02,332266
2013-09-03,422359
2013-09-04,453983
2013-09-05,467390
2013-09-06,508640
2013-09-07,511269
2013-09-08,462607
2013-09-09,451162
2013-09-10,483385
2013-09-11,501093
2013-09-12,503526
2013-09-13,523280
2013-09-14,518170
2013-09-15,462795
2013-09-16,444748
2013-09-17,468093
2013-09-18,484596
2013-09-19,504010
2013-09-20,523123
2013-09-21,535226
2013-09-22,457166
2013-09-23,411837
2013-09-24,435121
2013-09-25,461769
2013-09-26,484958
2013-09-27,502250
2013-09-28,526082
2013-09-29,457888
2013-09-30,424431
2013-10-01,452769
2013-10-02,475182
2013-10-03,496807
2013-10-04,520937
2013-10-05,538444
2013-10-06,457691
2013-10-07,426030
2013-10-08,459784
2013-10-09,484883
2013-10-10,507456
2013-10-11,516171
2013-10-12,524068
2013-10-13,462766
2013-10-14,403416
2013-10-15,430354
2013-10-16,477305
2013-10-17,506341
